frame,numero_pers,joint,x,y,tracking,est_joueur
5,1,23,848.18,527.393,1,0
5,1,24,859.825,527.458,1,0
6,0,0,1330.77,121.13,0,1
6,0,1,1345.59,168.289,0,1
6,0,2,1322.02,156.51,0,1
6,0,3,1260.27,141.797,0,1
6,0,4,1204.22,129.901,0,1
6,0,5,1366.19,174.166,0,1
6,0,6,1416.17,200.547,0,1
6,0,7,1469.05,224.245,0,1
6,0,8,1339.7,288.869,0,1
6,0,9,1327.87,288.918,0,1
6,0,10,1266.06,353.693,0,1
6,0,11,1289.66,442.006,0,1
6,0,12,1354.38,286.016,0,1
6,0,13,1398.68,368.49,0,1
6,0,14,1442.73,456.814,0,1
6,0,15,0,0,0,1
6,0,16,1336.75,115.329,0,1
6,0,17,0,0,0,1
6,0,18,1354.29,129.995,0,1
6,0,19,1401.46,477.216,0,1
6,0,20,1419.09,480.201,0,1
6,0,21,1448.73,462.63,0,1
6,0,22,1251.4,459.696,0,1
6,0,23,1257.13,456.714,0,1
6,0,24,1304.35,453.811,0,1
6,2,0,459.639,7.81662,2,0
6,2,1,474.402,7.79094,2,0
6,2,2,477.288,7.77993,2,0
6,2,3,0,0,2,0
6,2,4,0,0,2,0
6,2,5,465.516,7.79347,2,0
6,2,6,0,0,2,0
6,2,7,0,0,2,0
6,2,8,477.281,29.924,2,0
6,2,9,456.74,7.82059,2,0
6,2,10,480.134,71.1042,2,0
6,2,11,483.264,103.523,2,0
6,2,12,483.165,29.9478,2,0
6,2,13,480.2,71.0859,2,0
6,2,14,483.319,103.506,2,0
6,2,15,0,0,2,0
6,2,16,459.745,7.82836,2,0
6,2,17,0,0,2,0
6,2,18,462.608,7.82156,2,0
6,2,19,480.294,106.552,2,0
6,2,20,480.285,106.548,2,0
6,2,21,489.112,106.562,2,0
6,2,22,471.442,106.423,2,0
6,2,23,474.355,106.421,2,0
6,2,24,486.189,106.548,2,0
6,1,0,0,0,1,0
6,1,1,0,0,1,0
6,1,2,0,0,1,0
6,1,3,0,0,1,0
6,1,4,0,0,1,0
6,1,5,0,0,1,0
6,1,6,0,0,1,0
6,1,7,0,0,1,0
6,1,8,868.744,483.258,1,0
6,1,9,865.775,486.142,1,0
6,1,10,857.117,500.787,1,0
6,1,11,857.033,527.238,1,0
6,1,12,868.768,486.124,1,0
6,1,13,857.141,503.767,1,0
6,1,14,857.055,527.29,1,0
6,1,15,0,0,1,0
6,1,16,0,0,1,0
6,1,17,0,0,1,0
6,1,18,0,0,1,0
6,1,19,854.031,527.397,1,0
6,1,20,853.974,527.329,1,0
6,1,21,857.08,527.462,1,0
6,1,22,856.849,524.444,1,0
6,1,23,853.979,527.395,1,0
6,1,24,856.954,530.229,1,0
7,0,0,1330.85,118.253,0,1
7,0,1,1348.5,168.268,0,1
7,0,2,1324.89,156.46,0,1
7,0,3,1263.12,141.724,0,1
7,0,4,1207.15,129.902,0,1
